,ACTIONS,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,
ESTADOS,acht,drei,ein,elf,fünf,hundert,neun,sech,sechs,sieb,sieben,ssig,tausend,und,vier,zehn,zig,zwan,zwei,zwölf,$,S,Z1,Z2,Z34,ZS,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,U
35,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),EXTRAER,EXTRAER,EXTRAER,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),EXTRAER,r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),r( Z13 -> Z1 Z6 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,r( U -> Z1 und ),r( U -> Z1 und ),EXTRAER,EXTRAER,r( U -> Z1 und ),EXTRAER,r( U -> Z1 und ),r( U -> Z1 und ),EXTRAER,r( U -> Z1 und ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( U -> Z1 und ),EXTRAER,EXTRAER,r( U -> Z1 und ),EXTRAER,EXTRAER,r( U -> Z1 und ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),EXTRAER,EXTRAER,EXTRAER,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),EXTRAER,r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),r( Z13 -> Z2 Z6 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),EXTRAER,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),EXTRAER,EXTRAER,EXTRAER,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),EXTRAER,r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),r( Z10 -> Z2 Z5 ),EXTRAER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> zwan zig ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> zwan zig ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> ZS zehn ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> ZS zehn,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z2 -> ZS zehn ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> ZS zig ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z7 -> ZS zig ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z1 ),s36,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z1 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z2 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z2 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z7 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z7 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z8 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z5 Z8 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s40,s41,EXTRAER,EXTRAER,EXTRAER,EXTRAER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s39,EXTRAER,EXTRAER,EXTRAER,EXTRAER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,s32,s73,EXTRAER,EXTRAER,s31,EXTRAER,s33,s25,EXTRAER,s26,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s30,EXTRAER,EXTRAER,s47,EXTRAER,EXTRAER,EXTRAER,-,-,-,71,72,-,-,70,-,-,-,-,-,-,-,-
49,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s27,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,s36,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z6 Z1 ),-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
50,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z6 Z2 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z6 Z7 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z6 Z8 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,s32,s18,s16,s23,s31,EXTRAER,s33,s25,s19,s26,s20,EXTRAER,EXTRAER,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,r( Z14 -> Z6 Z9 ),-,58,59,21,46,-,-,60,61,-,-,-,-,-,-,48
54,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z14 -> Z6 Z11 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,s32,s18,s16,s23,s31,EXTRAER,s33,s25,s19,s26,s20,EXTRAER,EXTRAER,EXTRAER,s30,s22,EXTRAER,s47,s17,s24,EXTRAER,-,42,43,21,46,-,-,44,45,-,-,-,-,-,-,48
56,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),EXTRAER,EXTRAER,EXTRAER,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),EXTRAER,r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),r( Z13 -> Z7 Z6 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),EXTRAER,EXTRAER,EXTRAER,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),EXTRAER,r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),r( Z13 -> Z8 Z6 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z1 ),s36,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z1 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z2 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z2 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z7 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z7 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z8 ),EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,EXTRAER,r( Z11 -> Z9 Z8 ),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
